"ID","High_Plant","Herbarium","Observation Date","Taxon","Observer","Source","Date","County","lat","lng","Location Description"
"xr347280","1+",,"2004-09-01","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-09-01","Marin","37.99809724","-123.0142028",
"xr347281","1+",,"2004-09-02","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-09-02","Marin","37.99809724","-123.0142028",
"xr347282","1+",,"2004-09-03","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-09-03","Marin","37.99809724","-123.0142028",
"xr347283","1+",,"2004-09-07","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-09-07","Marin","37.99809724","-123.0142028",
"xr347284","1+",,"2004-09-08","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-09-08","Marin","37.99809724","-123.0142028",
"xr347285","1+",,"2004-09-09","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-09-09","Marin","37.99809724","-123.0142028",
"xr347286","1+",,"2004-09-10","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-09-10","Marin","37.99809724","-123.0142028",
"xr347287","1+",,"2004-09-15","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-09-15","Marin","37.99809724","-123.0142028",
"xr347288","1+",,"2004-09-19","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-09-19","Marin","37.99809724","-123.0142028",
"xr347289","1+",,"2006-03-23","Carpobrotus edulis","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-03-23","Marin","37.99809724","-123.0142028",
"xr347290","1+",,"2006-04-19","Carpobrotus edulis","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-04-19","Marin","37.99809724","-123.0142028",
"xr347291","1+",,"2007-02-28","Carpobrotus edulis","Eric Richardson","PORE Vegetation Management; SFAN; BAEDN","2007-02-28","Marin","37.99809724","-123.0142028",
"xr347292","1+",,"2007-03-02","Carpobrotus edulis","Eric Richardson","PORE Vegetation Management; SFAN; BAEDN","2007-03-02","Marin","37.99809724","-123.0142028",
"xr347293","1+",,"2008-12-14","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-12-14","Marin","37.99809724","-123.0142028",
"xr347294","1+",,"2008-05-29","Carpobrotus edulis","Ellen Hamingson","PORE Vegetation Management; SFAN; BAEDN","2008-05-29","Marin","37.99809724","-123.0142028",
"xr347295","1+",,"2008-10-16","Carpobrotus edulis","Michelle Krieg","PORE Vegetation Management; SFAN; BAEDN","2008-10-16","Marin","37.99809724","-123.0142028",
"xr347296","1+",,"2008-10-16","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-16","Marin","37.99809724","-123.0142028",
"xr347297","1+",,"2008-12-17","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-12-17","Marin","37.99809724","-123.0142028",
"xr347298","1+",,"2009-01-16","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2009-01-16","Marin","37.99809724","-123.0142028",
"xr347299","1+",,"2009-02-27","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2009-02-27","Marin","37.99809724","-123.0142028",
"xr347300","1+",,"2009-02-12","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2009-02-12","Marin","37.99809724","-123.0142028",
"xr347301","1+",,"2009-03-16","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2009-03-16","Marin","37.99809724","-123.0142028",
"xr347302","1+",,"2003-08-19","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-08-19","Marin","37.99889959","-123.0124489",
"xr347304","1+",,"2006-04-20","Carpobrotus edulis","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-04-20","Marin","37.99889959","-123.0124489",
"xr347305","1+",,"2008-10-15","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-15","Marin","37.99889959","-123.0124489",
"xr347306","1+",,"2009-01-28","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2009-01-28","Marin","37.99889959","-123.0124489",
"xr347307","1+",,"2008-10-03","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-03","Marin","37.99897214","-123.0070275",
"xr347310","1+",,"2009-03-05","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2009-03-05","Marin","37.99897214","-123.0070275",
"xr347311","1+",,"2002-05-31","Carpobrotus edulis","Patrick McIntyre","PORE Vegetation Management; SFAN; BAEDN","2002-05-31","Marin","37.99907099","-123.0108772",
"xr347312","1+",,"2003-10-15","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-10-15","Marin","37.99907099","-123.0108772",
"xr347313","1+",,"2005-10-12","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2005-10-12","Marin","37.99907099","-123.0108772",
"xr347314","1+",,"2004-09-22","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-09-22","Marin","37.99907099","-123.0108772",
"xr347315","1+",,"2006-01-25","Carpobrotus edulis","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-01-25","Marin","37.99907099","-123.0108772",
"xr347316","1+",,"2001-10-06","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-10-06","Marin","37.99910696","-123.0117656",
"xr347317","1+",,"2001-09-30","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-09-30","Marin","37.99910696","-123.0117656",
"xr347318","1+",,"2008-03-20","Carpobrotus edulis","Ellen Hamingson","PORE Vegetation Management; SFAN; BAEDN","2008-03-20","Marin","37.99910696","-123.0117656",
"xr347319","1+",,"2008-10-03","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-03","Marin","37.99955788","-123.0084854",
"xr347320","1+",,"2008-10-07","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-07","Marin","37.99955788","-123.0084854",
"xr347321","1+",,"2008-10-08","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-08","Marin","37.99955788","-123.0084854",
"xr347322","1+",,"2008-06-26","Carpobrotus edulis","Ellen Hamingson","PORE Vegetation Management; SFAN; BAEDN","2008-06-26","Marin","37.99955788","-123.0084854",
"xr347323","1+",,"2008-07-16","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-07-16","Marin","37.99955788","-123.0084854",
"xr347324","1+",,"2008-07-22","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-07-22","Marin","37.99955788","-123.0084854",
"xr347325","1+",,"2008-10-09","Carpobrotus edulis","Michelle Krieg","PORE Vegetation Management; SFAN; BAEDN","2008-10-09","Marin","37.99955788","-123.0084854",
"xr347326","1+",,"2008-10-14","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-14","Marin","37.99955788","-123.0084854",
"xr347329","1+",,"2008-06-10","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-06-10","Marin","37.99964775","-123.0116062",
"xr347335","1+",,"2009-01-22","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2009-01-22","Marin","37.9998194","-123.0061391",
"xr347337","1+",,"2008-06-05","Carpobrotus edulis","Ellen Hamingson","PORE Vegetation Management; SFAN; BAEDN","2008-06-05","Marin","38.00011655","-123.0102053",
"xr347345","1+",,"2008-10-14","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-14","Marin","38.00105403","-123.0084058",
"xr347346","1+",,"2008-10-08","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-08","Marin","38.00154063","-123.0097158",
"xr347348","1+",,"2008-06-06","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-06-06","Marin","38.00154072","-123.0084515",
"xr347349","1+",,"2008-07-02","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-07-02","Marin","38.00154072","-123.0084515",
"xr347350","1+",,"2008-07-16","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-07-16","Marin","38.00154072","-123.0084515",
"xr347351","1+",,"2008-10-10","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-10","Marin","38.00154072","-123.0084515",
"xr347352","1+",,"2008-10-13","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-13","Marin","38.00154072","-123.0084515",
"xr347353","1+",,"2008-10-14","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-14","Marin","38.00154072","-123.0084515",
"xr347354","1+",,"2009-03-05","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2009-03-05","Marin","38.00154072","-123.0084515",
"xr347355","1+",,"2008-10-09","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-09","Marin","38.00179288","-123.010889",
"xr347356","1+",,"2009-01-21","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2009-01-21","Marin","38.00269444","-123.0075518",
"xr347357","1+",,"2008-10-16","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-16","Marin","38.00269444","-123.0075518",
"xr347372","1+",,"2001-07-16","Carpobrotus edulis","staff","PORE Vegetation Management; SFAN; BAEDN","2001-07-16","Marin","38.01538476","-123.003862",
"xr347373","1+",,"2001-10-03","Carpobrotus edulis","John Holloway","PORE Vegetation Management; SFAN; BAEDN","2001-10-03","Marin","38.01538476","-123.003862",
"xr347374","1+",,"2001-10-17","Carpobrotus edulis","John Holloway","PORE Vegetation Management; SFAN; BAEDN","2001-10-17","Marin","38.01538476","-123.003862",
"xr347375","1+",,"2007-10-21","Carpobrotus edulis","John Holloway","PORE Vegetation Management; SFAN; BAEDN","2007-10-21","Marin","38.01538476","-123.003862",
"xr347376","1+",,"2008-09-28","Carpobrotus edulis","Ellen Hamingson","PORE Vegetation Management; SFAN; BAEDN","2008-09-28","Marin","38.01538476","-123.003862",
"xr347411","1+",,"2001-07-27","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-07-27","Marin","38.02195412","-122.8688066",
"xr347412","1+",,"2002-02-11","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2002-02-11","Marin","38.02195412","-122.8688066",
"xr347414","1+",,"2008-05-19","Carpobrotus edulis","Ellen Hamingson","PORE Vegetation Management; SFAN; BAEDN","2008-05-19","Marin","38.02195412","-122.8688066",
"xr347416","1+",,"2002-01-17","Carpobrotus edulis","staff","PORE Vegetation Management; SFAN; BAEDN","2002-01-17","Marin","38.02513841","-122.8798073",
"xr347417","1+",,"2001-04-26","Carpobrotus edulis","staff","PORE Vegetation Management; SFAN; BAEDN","2001-04-26","Marin","38.02513841","-122.8798073",
"xr347418","1+",,"2001-08-19","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-08-19","Marin","38.02513841","-122.8798073",
"xr347419","1+",,"2002-02-03","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2002-02-03","Marin","38.02513841","-122.8798073",
"xr347420","1+",,"2001-08-02","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-08-02","Marin","38.02513841","-122.8798073",
"xr347421","1+",,"2001-12-09","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-12-09","Marin","38.02513841","-122.8798073",
"xr347422","1+",,"2001-12-02","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-12-02","Marin","38.02513841","-122.8798073",
"xr347423","1+",,"2001-11-04","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-11-04","Marin","38.02513841","-122.8798073",
"xr347424","1+",,"2001-10-26","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-10-26","Marin","38.02513841","-122.8798073",
"xr347425","1+",,"2004-11-19","Carpobrotus edulis","Mark Rogers","PORE Vegetation Management; SFAN; BAEDN","2004-11-19","Marin","38.02513841","-122.8798073",
"xr347426","1+",,"2007-07-27","Carpobrotus edulis","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2007-07-27","Marin","38.02513841","-122.8798073",
"xr347427","1+",,"2007-07-23","Carpobrotus edulis","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2007-07-23","Marin","38.02513841","-122.8798073",
"xr347428","1+",,"2007-06-28","Carpobrotus edulis","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2007-06-28","Marin","38.02513841","-122.8798073",
"xr347429","1+",,"2005-11-08","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2005-11-08","Marin","38.02513841","-122.8798073",
"xr347430","1+",,"2006-06-25","Carpobrotus edulis","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-06-25","Marin","38.02513841","-122.8798073",
"xr347431","1+",,"2008-04-24","Carpobrotus edulis","Ellen Hamingson","PORE Vegetation Management; SFAN; BAEDN","2008-04-24","Marin","38.02513841","-122.8798073",
